ID,DEMOG_AGE,DEMOG_REGION,DEMOG_ETHNICITY,DEMOG_RELIGION,RESPONDENT_WEIGHT,DEMOG_SOCIAL_GRADE,HEALTH_VULNERABILITY,PRIVATE_NON_CONTACT,PRIVATE_CONTACT,PUBLIC_NON_CONTACT,PUBLIC_CONTACT
1300,45-54,London,"Other ethnic group - Arab, Any other ethnic group",Jewish,1.761307837,Intermediate managerial/ professional/ administrative,0,1.761307837,0,1.761307837,0
1301,25-34,Scotland,"Other ethnic group - Arab, Any other ethnic group",Catholic,1.292327611,Intermediate managerial/ professional/ administrative,1.292327611,1.292327611,0,1.292327611,0
1302,55-64,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.878375932,Supervisory or clerical/ junior managerial/ professional/ administrator,0.878375932,0,0,0,0
1303,55-64,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Other,0.589610953,Intermediate managerial/ professional/ administrative,0,0,0,0.589610953,0
1304,35-44,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.606040104,Intermediate managerial/ professional/ administrative,0.606040104,0,0,0.606040104,0
1305,35-44,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,1.030297726,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,1.030297726,0
1306,45-54,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.786223072,Intermediate managerial/ professional/ administrative,0,0.786223072,0,0.786223072,0
1307,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.673824156,Intermediate managerial/ professional/ administrative,0,0.673824156,0,0.673824156,0
1308,25-34,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.656980051,Intermediate managerial/ professional/ administrative,0,0,0,0.656980051,0
1309,55-64,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.687962475,Intermediate managerial/ professional/ administrative,0,0,0,0,0
1310,55-64,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.687962475,NOT COLLECTED,0,0,0,0.687962475,0
1311,55-64,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.878375932,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,0,0
1312,45-54,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.786223072,Intermediate managerial/ professional/ administrative,0,0,0,0.786223072,0
1313,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Other,0.762724349,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0.762724349,0,0.762724349,0
1314,55-64,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Other,0.878375932,Supervisory or clerical/ junior managerial/ professional/ administrator,0.878375932,0,0,0.878375932,0
1315,55-64,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.575793534,Intermediate managerial/ professional/ administrative,0,0,0,0,0
1316,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.691588649,Intermediate managerial/ professional/ administrative,0,0,0,0,0
1317,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.691588649,Intermediate managerial/ professional/ administrative,0,0.691588649,0.691588649,0.691588649,0.691588649
1318,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.597381727,Intermediate managerial/ professional/ administrative,0,0,0,0.597381727,0
1319,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Muslim,0.762724349,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0.762724349,0.762724349,0.762724349,0
1320,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.762724349,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,0.762724349,0
1321,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.691588649,Higher managerial/professional/administrative,0,0.691588649,0,0.691588649,0
1322,35-44,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.675381403,Higher managerial/professional/administrative,0,0,0,0,0
1323,55-64,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.589610953,Intermediate managerial/ professional/ administrative,0,0,0,0.589610953,0
1324,35-44,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.829875963,Intermediate managerial/ professional/ administrative,0,0.829875963,0,0.829875963,0
1325,55-64,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.752802789,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,0,0
1326,25-34,Scotland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.616454249,Student,0,0.616454249,0,0.616454249,0
1327,18-24,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.531672125,Higher managerial/professional/administrative,0,0.531672125,0,0.531672125,0
1328,35-44,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.806950815,Higher managerial/professional/administrative,0,0.806950815,0,0,0
1329,25-34,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.713756211,Intermediate managerial/ professional/ administrative,0.713756211,0.713756211,0,0.713756211,0
1330,55-64,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.687962475,Higher managerial/professional/administrative,0,0,0,0.687962475,0
1331,35-44,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.829875963,Intermediate managerial/ professional/ administrative,0,0.829875963,0,0.829875963,0
1332,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.673824156,Higher managerial/professional/administrative,0,0,0,0.673824156,0
1333,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.691588649,Intermediate managerial/ professional/ administrative,0,0.691588649,0,0.691588649,0
1334,25-34,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.937198745,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,0.937198745,0
1335,35-44,East of England,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.804971863,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,0.804971863,0
1336,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.691588649,Intermediate managerial/ professional/ administrative,0,0,0,0.691588649,0
1337,55-64,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.707507212,Higher managerial/professional/administrative,0,0,0,0,0
1338,55-64,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.516676906,Intermediate managerial/ professional/ administrative,0,0,0,0.516676906,0.516676906
1339,25-34,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.781027578,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0.781027578,0,0.781027578,0
1340,45-54,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,1.003832982,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,1.003832982,0
1341,45-54,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.786223072,Intermediate managerial/ professional/ administrative,0,0,0,0.786223072,0
1342,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Other,0.597381727,Intermediate managerial/ professional/ administrative,0.597381727,0.597381727,0.597381727,0.597381727,0
1343,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.691588649,Intermediate managerial/ professional/ administrative,0,0,0,0.691588649,0
1344,18-24,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.964371215,Unemployed (for over 6 months) or not working due to long term sickness,0,0.964371215,0,0.964371215,0
1345,35-44,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.675381403,Intermediate managerial/ professional/ administrative,0,0,0,0,0
1346,35-44,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.606040104,Intermediate managerial/ professional/ administrative,0,0,0,0.606040104,0
1347,25-34,Wales,"Mixed or multiple ethnic groups - White and Black Caribbean, White and Black African, White and Asian, Any other Mixed or multiple ethnic background",Christian/Protestant/Methodist/Lutheran/Baptist,1.039952427,Student,0,0,0,1.039952427,0
1348,55-64,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.589610953,Higher managerial/professional/administrative,0,0.589610953,0.589610953,0.589610953,0
1349,18-24,London,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Nothing in particular,1.233122682,Supervisory or clerical/ junior managerial/ professional/ administrator,0,1.233122682,0,1.233122682,0
1350,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.691588649,Higher managerial/professional/administrative,0,0.691588649,0,0.691588649,0
1351,25-34,East of England,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.557657901,Intermediate managerial/ professional/ administrative,0,0,0,0.557657901,0
1352,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.762724349,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0.762724349,0.762724349,0.762724349,0
1353,35-44,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.829875963,Higher managerial/professional/administrative,0,0.829875963,0,0.829875963,0
1354,45-54,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.723682492,Higher managerial/professional/administrative,0.723682492,0.723682492,0,0.723682492,0
1355,25-34,Scotland,"Mixed or multiple ethnic groups - White and Black Caribbean, White and Black African, White and Asian, Any other Mixed or multiple ethnic background",Muslim,0.845294243,Student,0,0.845294243,0,0.845294243,0
1356,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.691588649,Intermediate managerial/ professional/ administrative,0.691588649,0.691588649,0,0.691588649,0
1357,35-44,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.675381403,Higher managerial/professional/administrative,0,0.675381403,0,0.675381403,0.675381403
1358,25-34,North East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.69786798,Intermediate managerial/ professional/ administrative,0.69786798,0,0,0.69786798,0.69786798
1359,35-44,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.675381403,Higher managerial/professional/administrative,0,0,0,0.675381403,0
1360,25-34,London,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Hindu,1.085172181,Intermediate managerial/ professional/ administrative,0,1.085172181,0,1.085172181,0
1361,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.597381727,Intermediate managerial/ professional/ administrative,0.597381727,0,0,0.597381727,0
1362,45-54,Yorkshire And The Humber,"Mixed or multiple ethnic groups - White and Black Caribbean, White and Black African, White and Asian, Any other Mixed or multiple ethnic background",Nothing in particular,0.865883102,Intermediate managerial/ professional/ administrative,0,0,0,0,0
1363,35-44,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.675381403,Intermediate managerial/ professional/ administrative,0.675381403,0,0,0,0
1364,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.597381727,Higher managerial/professional/administrative,0,0.597381727,0,0.597381727,0
1365,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.691588649,Higher managerial/professional/administrative,0,0.691588649,0,0,0
1366,25-34,London,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Buddhist,1.085172181,Intermediate managerial/ professional/ administrative,1.085172181,0,0,1.085172181,0
1367,35-44,East of England,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.630470867,Intermediate managerial/ professional/ administrative,0,0,0,0,0
1368,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.691588649,Intermediate managerial/ professional/ administrative,0.691588649,0,0,0.691588649,0
1369,45-54,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.631469245,Higher managerial/professional/administrative,0.631469245,0.631469245,0,0.631469245,0
1370,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.597381727,Intermediate managerial/ professional/ administrative,0,0.597381727,0,0.597381727,0
1371,25-34,North East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Other,0.891023071,Supervisory or clerical/ junior managerial/ professional/ administrator,0.891023071,0.891023071,0,0.891023071,0
1372,35-44,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.675381403,Higher managerial/professional/administrative,0,0,0,0,0
1373,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.597381727,Higher managerial/professional/administrative,0,0.597381727,0.597381727,0.597381727,0
1374,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.673824156,Intermediate managerial/ professional/ administrative,0,0,0,0.673824156,0
1375,45-54,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.590473054,Intermediate managerial/ professional/ administrative,0,0,0,0,0
1376,35-44,Scotland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.54586134,Intermediate managerial/ professional/ administrative,0,0,0,0,0
1377,35-44,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.675381403,Higher managerial/professional/administrative,0,0.675381403,0,0.675381403,0
1378,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,1.282882952,Skilled manual worker,0,0,0,1.282882952,0
1379,45-54,East of England,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.614276276,Higher managerial/professional/administrative,0,0,0,0.614276276,0
1380,25-34,London,"Mixed or multiple ethnic groups - White and Black Caribbean, White and Black African, White and Asian, Any other Mixed or multiple ethnic background",,0.819141624,Intermediate managerial/ professional/ administrative,0,0,0,0.819141624,0
1381,25-34,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.656980051,Intermediate managerial/ professional/ administrative,0,0,0,0.656980051,0
1382,45-54,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.658033218,Higher managerial/professional/administrative,0,0,0,0.658033218,0
1383,45-54,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.590473054,Intermediate managerial/ professional/ administrative,0.590473054,0,0,0.590473054,0
1384,45-54,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.808559353,Intermediate managerial/ professional/ administrative,0,0.808559353,0,0.808559353,0
1385,18-24,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.635245882,Intermediate managerial/ professional/ administrative,0.635245882,0,0,0.635245882,0
1386,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.597381727,Higher managerial/professional/administrative,0,0,0,0.597381727,0
1387,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.673824156,Higher managerial/professional/administrative,0,0,0,0.673824156,0
1388,25-34,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.713756211,Higher managerial/professional/administrative,0,0,0,0.713756211,0
1389,35-44,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.648117105,Higher managerial/professional/administrative,0,0,0,0,0
1390,35-44,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.648117105,Intermediate managerial/ professional/ administrative,0,0,0,0.648117105,0
1391,35-44,South West,"Mixed or multiple ethnic groups - White and Black Caribbean, White and Black African, White and Asian, Any other Mixed or multiple ethnic background",Catholic,1.106506897,Intermediate managerial/ professional/ administrative,0,0,0,1.106506897,0
1392,45-54,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.786223072,Intermediate managerial/ professional/ administrative,0.786223072,0.786223072,0.786223072,0.786223072,0
1393,45-54,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.786223072,Intermediate managerial/ professional/ administrative,0,0.786223072,0.786223072,0,0
1394,35-44,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.675381403,Intermediate managerial/ professional/ administrative,0,0,0,0.675381403,0
1395,25-34,Scotland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.482819913,Intermediate managerial/ professional/ administrative,0.482819913,0.482819913,0,0.482819913,0
1396,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",,0.673824156,Intermediate managerial/ professional/ administrative,0,0.673824156,0,0.673824156,0
1397,25-34,Scotland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.482819913,Intermediate managerial/ professional/ administrative,0.482819913,0.482819913,0,0.482819913,0
1398,35-44,Scotland,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Nothing in particular,0.99158296,Intermediate managerial/ professional/ administrative,0,0,0,0.99158296,0
1399,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.691588649,Higher managerial/professional/administrative,0,0,0,0.691588649,0
1400,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.691588649,Higher managerial/professional/administrative,0,0.691588649,0,0.691588649,0.691588649
1401,35-44,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.648117105,Higher managerial/professional/administrative,0,0,0,0.648117105,0
1402,35-44,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.829875963,Higher managerial/professional/administrative,0.829875963,0.829875963,0,0,0
1403,45-54,Scotland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.531840072,Higher managerial/professional/administrative,0,0,0,0.531840072,0
1404,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.673824156,Higher managerial/professional/administrative,0,0.673824156,0,0.673824156,0
1405,25-34,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.656980051,Intermediate managerial/ professional/ administrative,0.656980051,0.656980051,0.656980051,0.656980051,0
1406,55-64,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.589610953,Higher managerial/professional/administrative,0,0,0,0.589610953,0
1407,45-54,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.590473054,Intermediate managerial/ professional/ administrative,0,0,0,0,0
1408,35-44,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.675381403,Higher managerial/professional/administrative,0.675381403,0,0,0.675381403,0
1409,55-64,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.552549474,Higher managerial/professional/administrative,0.552549474,0,0,0.552549474,0.552549474
1410,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.691588649,Intermediate managerial/ professional/ administrative,0,0,0,0,0
1411,35-44,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.675381403,Higher managerial/professional/administrative,0,0.675381403,0,0.675381403,0
1412,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.673824156,Intermediate managerial/ professional/ administrative,0,0,0.673824156,0.673824156,0
1413,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.673824156,Higher managerial/professional/administrative,0,0.673824156,0,0.673824156,0
1414,35-44,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.675381403,Intermediate managerial/ professional/ administrative,0,0,0,0,0
1415,25-34,North West,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Hindu,1.193435357,Intermediate managerial/ professional/ administrative,0,0,0,1.193435357,0
1416,45-54,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.658033218,Intermediate managerial/ professional/ administrative,0.658033218,0.658033218,0,0.658033218,0
1417,25-34,Wales,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.594005868,Intermediate managerial/ professional/ administrative,0.594005868,0,0,0.594005868,0
1418,35-44,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.742761434,Higher managerial/professional/administrative,0,0,0,0,0
1419,45-54,Scotland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.679042151,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0.679042151,0,0.679042151,0
1420,35-44,London,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Muslim,1.226862284,Higher managerial/professional/administrative,1.226862284,1.226862284,0,0,0
1421,25-34,South East,"Black, Black British, Caribbean, or African - African, Caribbean, Any other Black, Black British, or Caribbean background",Christian/Protestant/Methodist/Lutheran/Baptist,1.082504559,Intermediate managerial/ professional/ administrative,1.082504559,1.082504559,0,1.082504559,0
1422,45-54,South East,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Hindu,1.224033472,Higher managerial/professional/administrative,0,0,0,0,0
1423,25-34,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.536048642,Intermediate managerial/ professional/ administrative,0,0.536048642,0.536048642,0.536048642,0
1424,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.597381727,Intermediate managerial/ professional/ administrative,0,0.597381727,0,0.597381727,0
1425,35-44,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,1.782166538,Skilled manual worker,1.782166538,1.782166538,0,1.782166538,0
1426,45-54,South East,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Nothing in particular,1.224033472,Higher managerial/professional/administrative,0,1.224033472,0,0,0
